,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tsimmerbude,54.675,20.1347,42.85,91,85,7.29,RU,1650927993
1,Portland,45.5234,-122.6762,60.64,78,100,10.36,US,1650927634
2,Armidale,-30.5167,151.65,54.25,81,100,7.83,AU,1650927993
3,Busselton,-33.65,115.3333,62.91,60,98,16.55,AU,1650927723
4,Cabo San Lucas,22.8909,-109.9124,82.62,62,10,8.39,MX,1650927667
5,Cape Town,-33.9258,18.4232,60.91,69,1,11.99,ZA,1650927734
6,Jamestown,42.097,-79.2353,62.24,76,100,18.41,US,1650927707
7,Hobart,-42.8794,147.3294,51.06,92,20,6.91,AU,1650927738
8,Ushuaia,-54.8,-68.3,37.06,96,100,0.67,AR,1650927725
9,Udachny,66.4167,112.4,13.5,97,97,3.04,RU,1650927938
10,Port Elizabeth,-33.918,25.5701,56.32,83,2,1.01,ZA,1650927830
11,Punta Arenas,-53.15,-70.9167,39.31,75,20,13.8,CL,1650927534
12,Kahului,20.8947,-156.47,80.96,79,7,11.01,US,1650927847
13,Nikolskoye,59.7035,30.7861,41.72,97,100,4.36,RU,1650927787
14,Sitka,57.0531,-135.33,44.44,90,99,4.54,US,1650927590
15,Butaritari,3.0707,172.7902,80.38,82,29,13.0,KI,1650927720
16,Bengkulu,-3.8004,102.2655,76.44,85,100,6.13,ID,1650927717
17,Hermanus,-34.4187,19.2345,56.55,73,1,5.97,ZA,1650927653
18,Naze,28.3667,129.4833,74.32,90,49,16.51,JP,1650927786
19,Khatanga,71.9667,102.5,2.12,98,100,4.76,RU,1650927876
20,Port Alfred,-33.5906,26.891,58.59,81,24,11.97,ZA,1650927709
21,Ketchikan,55.3422,-131.6461,46.78,76,100,8.41,US,1650927763
22,Praia da Vitória,38.7333,-27.0667,56.75,79,63,7.74,PT,1650927919
23,Buchanan,5.8808,-10.0467,80.1,85,100,7.94,LR,1650927779
24,Talnakh,69.4865,88.3972,-0.8,97,100,6.08,RU,1650927826
25,Airai,-8.9266,125.4092,62.46,65,66,1.28,TL,1650927895
26,Puerto Escondido,15.85,-97.0667,85.82,59,3,7.11,MX,1650927713
27,Pemangkat,1.1667,108.9667,76.12,89,99,5.5,ID,1650927772
28,Tiksi,71.6872,128.8694,2.93,96,96,1.48,RU,1650927717
29,Bonthe,7.5264,-12.505,80.74,86,89,10.76,SL,1650927998
30,Saskylakh,71.9167,114.0833,2.91,99,99,3.53,RU,1650927717
31,Toumodi,6.5613,-5.0158,76.19,86,44,4.7,CI,1650927998
32,Sioux Lookout,50.1001,-91.917,24.57,92,100,11.05,CA,1650927818
33,Cayenne,4.9333,-52.3333,79.09,1,0,0.0,GF,1650927609
34,Saint Paul Harbor,57.79,-152.4072,41.74,62,31,4.36,US,1650927676
35,Araouane,18.9048,-3.5265,78.89,20,0,9.37,ML,1650927999
36,Avarua,-21.2078,-159.775,84.25,79,100,9.22,CK,1650927830
